dataset,reported_as,dataset_hash,actual_data_path,class_policy,sample_policy,train_rows,test_rows,num_classes,noise_type,tail_flip_rate,effective_flip_rate_train,seed,method,training_mode,macro_f1,fpr,fnr,tail_macro_f1,tail_recall,rare_recovery_rate,rare_retained_rate,rare_clean_suspicious_count,rare_recovered_count,rare_recovery_eval,rare_retained_count,err,err_tail,err_final,err_degree,err_tail_degree,err_final_degree,mean_weight,retained_fraction,clean_rare_suspicious_retained_fraction,soft_retained_hard_deleted_count,semisup_candidate_count,semisup_selected_count,semisup_selected_rate,semisup_confidence_mean,runtime_sec,memory_mb,tail_labels,tail_label_names,active_views,source_verified,replacement_for
cicids2017,CICIDS-2017,2585508ac445a94a3eb2244aa64778678928d201555396b4b9afc1ed6a2f1ab4,C:\Users\g14370\graph-cold\data\cicids2017,postfilter11,p2d_real_audit_window_train_10000_test_1000,10000,1000,11,tail_asymmetric,0.4,0.0103,0,CoLD,cold_hard,0.5541660739860289,0.006756756756756757,0.078125,0.05714285714285714,0.043478260869565216,0.0,0.0,12,0,out_of_fold_training_predictions,0,0.7444239513883577,0.42678000637836283,0.5856019788833603,0.7444239513883577,0.42678000637836283,0.5856019788833603,0.9839,0.9839,0.0,0,0,0,0.0,0.0,0.6968679000274278,6.991744041442871,"[1, 5, 6, 9, 10]","[""1"", ""5"", ""6"", ""9"", ""10""]",host|ip|temporal,True,
cicids2017,CICIDS-2017,2585508ac445a94a3eb2244aa64778678928d201555396b4b9afc1ed6a2f1ab4,C:\Users\g14370\graph-cold\data\cicids2017,postfilter11,p2d_real_audit_window_train_10000_test_1000,10000,1000,11,tail_asymmetric,0.4,0.0103,0,ablation_hard,hard_deletion,0.8782731401177283,0.0033783783783783786,0.03409090909090909,0.7533333333333333,0.5652173913043478,0.0,0.0,12,0,out_of_fold_training_predictions,0,0.968911838580916,0.941006280829385,0.9549590597051505,0.968911838580916,0.941006280829385,0.9549590597051505,0.9939,0.9939,0.0,0,0,0,0.0,0.0,0.5227499000029638,7.457185745239258,"[1, 5, 6, 9, 10]","[""1"", ""5"", ""6"", ""9"", ""10""]",host|ip|temporal,True,
cicids2017,CICIDS-2017,2585508ac445a94a3eb2244aa64778678928d201555396b4b9afc1ed6a2f1ab4,C:\Users\g14370\graph-cold\data\cicids2017,postfilter11,p2d_real_audit_window_train_10000_test_1000,10000,1000,11,tail_asymmetric,0.4,0.0103,0,Graph-CoLD-soft,scalar_soft,0.8425711037399348,0.010135135135135136,0.015625,0.6684848484848486,0.6521739130434783,1.0,1.0,12,12,out_of_fold_training_predictions,12,1.0,1.0,1.0,0.8823072913006931,0.8882419886417624,0.8852746399712277,0.8775965179873114,1.0,1.0,61,0,0,0.0,0.0,0.5410511000081897,7.504700660705566,"[1, 5, 6, 9, 10]","[""1"", ""5"", ""6"", ""9"", ""10""]",host|ip|temporal,True,
cicids2017,CICIDS-2017,2585508ac445a94a3eb2244aa64778678928d201555396b4b9afc1ed6a2f1ab4,C:\Users\g14370\graph-cold\data\cicids2017,postfilter11,p2d_real_audit_window_train_10000_test_1000,10000,1000,11,tail_asymmetric,0.4,0.0103,0,Graph-CoLD-semisup,evidence_semisup,0.9315659499816228,0.010135135135135136,0.015625,0.8646153846153848,0.6956521739130435,0.08333333333333333,1.0,12,1,out_of_fold_training_predictions,12,1.0,1.0,1.0,0.8823072913006931,0.8882419886417624,0.8852746399712277,0.8775965179873114,1.0,1.0,61,23,20,0.002,0.7833333333333334,0.8089291999931447,7.7147111892700195,"[1, 5, 6, 9, 10]","[""1"", ""5"", ""6"", ""9"", ""10""]",host|ip|temporal,True,
cicids2017,CICIDS-2017,2585508ac445a94a3eb2244aa64778678928d201555396b4b9afc1ed6a2f1ab4,C:\Users\g14370\graph-cold\data\cicids2017,postfilter11,p2d_real_audit_window_train_10000_test_1000,10000,1000,11,tail_asymmetric,0.4,0.0103,0,Graph-CoLD,scalar_soft,0.8425711037399348,0.010135135135135136,0.015625,0.6684848484848486,0.6521739130434783,1.0,1.0,12,12,out_of_fold_training_predictions,12,1.0,1.0,1.0,0.8823072913006931,0.8882419886417624,0.8852746399712277,0.8775965179873114,1.0,1.0,61,0,0,0.0,0.0,0.5586402000044473,8.258133888244629,"[1, 5, 6, 9, 10]","[""1"", ""5"", ""6"", ""9"", ""10""]",host|ip|temporal,True,
cicids2017,CICIDS-2017,2585508ac445a94a3eb2244aa64778678928d201555396b4b9afc1ed6a2f1ab4,C:\Users\g14370\graph-cold\data\cicids2017,postfilter11,p2d_real_audit_window_train_10000_test_1000,10000,1000,11,tail_asymmetric,0.6,0.0155,0,CoLD,cold_hard,0.5364167731909668,0.0033783783783783786,0.041193181818181816,0.0,0.0,0.0,0.0,18,0,out_of_fold_training_predictions,0,0.6950784625824734,0.25712600292852444,0.4761022327554989,0.6950784625824734,0.25712600292852444,0.4761022327554989,0.984,0.984,0.0,0,0,0,0.0,0.0,0.539631899970118,7.027411460876465,"[1, 5, 6, 9, 10]","[""1"", ""5"", ""6"", ""9"", ""10""]",host|ip|temporal,True,
cicids2017,CICIDS-2017,2585508ac445a94a3eb2244aa64778678928d201555396b4b9afc1ed6a2f1ab4,C:\Users\g14370\graph-cold\data\cicids2017,postfilter11,p2d_real_audit_window_train_10000_test_1000,10000,1000,11,tail_asymmetric,0.6,0.0155,0,ablation_hard,hard_deletion,0.6700789309970021,0.0033783783783783786,0.028409090909090908,0.2909090909090909,0.34782608695652173,0.0,0.0,18,0,out_of_fold_training_predictions,0,0.9370731594239061,0.8541744897688618,0.8956238245963839,0.9370731594239061,0.8541744897688618,0.8956238245963839,0.994,0.994,0.0,0,0,0,0.0,0.0,0.5397145999595523,7.567370414733887,"[1, 5, 6, 9, 10]","[""1"", ""5"", ""6"", ""9"", ""10""]",host|ip|temporal,True,
cicids2017,CICIDS-2017,2585508ac445a94a3eb2244aa64778678928d201555396b4b9afc1ed6a2f1ab4,C:\Users\g14370\graph-cold\data\cicids2017,postfilter11,p2d_real_audit_window_train_10000_test_1000,10000,1000,11,tail_asymmetric,0.6,0.0155,0,Graph-CoLD-soft,scalar_soft,0.6591089825439261,0.006756756756756757,0.02556818181818182,0.26545454545454544,0.30434782608695654,1.0,1.0,18,18,out_of_fold_training_predictions,18,1.0,1.0,1.0,0.8664119961425989,0.8516401910942281,0.8590260936184135,0.8772358497665816,1.0,1.0,60,0,0,0.0,0.0,0.4807077000150457,7.533534049987793,"[1, 5, 6, 9, 10]","[""1"", ""5"", ""6"", ""9"", ""10""]",host|ip|temporal,True,
cicids2017,CICIDS-2017,2585508ac445a94a3eb2244aa64778678928d201555396b4b9afc1ed6a2f1ab4,C:\Users\g14370\graph-cold\data\cicids2017,postfilter11,p2d_real_audit_window_train_10000_test_1000,10000,1000,11,tail_asymmetric,0.6,0.0155,0,Graph-CoLD-semisup,evidence_semisup,0.6820813290964037,0.0033783783783783786,0.03977272727272727,0.32259740259740266,0.34782608695652173,0.05555555555555555,1.0,18,1,out_of_fold_training_predictions,18,1.0,1.0,1.0,0.8664119961425989,0.8516401910942281,0.8590260936184135,0.8772358497665816,1.0,1.0,60,29,25,0.0025,0.8449999999999999,0.7261902999598533,8.287908554077148,"[1, 5, 6, 9, 10]","[""1"", ""5"", ""6"", ""9"", ""10""]",host|ip|temporal,True,
cicids2017,CICIDS-2017,2585508ac445a94a3eb2244aa64778678928d201555396b4b9afc1ed6a2f1ab4,C:\Users\g14370\graph-cold\data\cicids2017,postfilter11,p2d_real_audit_window_train_10000_test_1000,10000,1000,11,tail_asymmetric,0.6,0.0155,0,Graph-CoLD,scalar_soft,0.6591089825439261,0.006756756756756757,0.02556818181818182,0.26545454545454544,0.30434782608695654,1.0,1.0,18,18,out_of_fold_training_predictions,18,1.0,1.0,1.0,0.8664119961425989,0.8516401910942281,0.8590260936184135,0.8772358497665816,1.0,1.0,60,0,0,0.0,0.0,0.495735100004822,7.492433547973633,"[1, 5, 6, 9, 10]","[""1"", ""5"", ""6"", ""9"", ""10""]",host|ip|temporal,True,
