dataset,reported_as,noise_type,noise_rate,graph_beta,seed,method,review_budget,topk_recall,precision
cicids2017,CICIDS-2017,clean,0.0,none,0,Graph-CoLD,0.02,0.03994330627496457,0.9967845659163987
cicids2017,CICIDS-2017,clean,0.0,none,0,Graph-CoLD,0.04,0.07988661254992914,0.998389694041868
cicids2017,CICIDS-2017,clean,0.0,none,0,Graph-CoLD,0.06,0.11995876819997423,0.9989270386266095
cicids2017,CICIDS-2017,clean,0.0,none,0,Graph-CoLD,0.08,0.1599020744749388,0.999194847020934
cicids2017,CICIDS-2017,clean,0.0,none,0,Graph-CoLD,0.1,0.1999742301249839,0.9993560849967804
cicids2017,CICIDS-2017,clean,0.0,none,0,Graph-CoLD,0.12000000000000001,0.23991753639994845,0.9994632313472893
cicids2017,CICIDS-2017,clean,0.0,none,0,Graph-CoLD,0.13999999999999999,0.2799896920499936,0.999540018399264
cicids2017,CICIDS-2017,clean,0.0,none,0,Graph-CoLD,0.16,0.31993299832495814,0.999597423510467
cicids2017,CICIDS-2017,clean,0.0,none,0,Graph-CoLD,0.18,0.3600051539750032,0.9996422182468694
cicids2017,CICIDS-2017,clean,0.0,none,0,Graph-CoLD,0.19999999999999998,0.3999484602499678,0.9996779388083736
cicids2017,CICIDS-2017,clean,0.0,none,0,Graph-CoLD,0.22,0.4400206159000129,0.9997072599531616
cicids2017,CICIDS-2017,clean,0.0,none,0,Graph-CoLD,0.24,0.47996392217497746,0.9997316156736447
cicids2017,CICIDS-2017,clean,0.0,none,0,Graph-CoLD,0.26,0.519907228449942,0.9997522299306244
cicids2017,CICIDS-2017,clean,0.0,none,0,Graph-CoLD,0.28,0.5599793840999872,0.9997699562916954
cicids2017,CICIDS-2017,clean,0.0,none,0,Graph-CoLD,0.30000000000000004,0.5999226903749517,0.999785269486794
cicids2017,CICIDS-2017,clean,0.0,none,0,Graph-CoLD,0.32,0.6399948460249968,0.9997987117552335
cicids2017,CICIDS-2017,clean,0.0,none,0,Graph-CoLD,0.34,0.6799381522999614,0.9998105342932929
cicids2017,CICIDS-2017,clean,0.0,none,0,Graph-CoLD,0.36000000000000004,0.7200103079500064,0.9998210771157631
cicids2017,CICIDS-2017,clean,0.0,none,0,Graph-CoLD,0.38,0.759953614224971,0.9998304797423292
cicids2017,CICIDS-2017,clean,0.0,none,0,Graph-CoLD,0.4,0.8000257698750161,0.9998389694041868
cicids2017,CICIDS-2017,clean,0.0,none,0,Graph-CoLD,0.42000000000000004,0.8399690761499806,0.9998466257668711
cicids2017,CICIDS-2017,clean,0.0,none,0,Graph-CoLD,0.44,0.8800412318000258,0.9998536085492608
cicids2017,CICIDS-2017,clean,0.0,none,0,Graph-CoLD,0.46,0.9199845380749904,0.9998599635905335
cicids2017,CICIDS-2017,clean,0.0,none,0,Graph-CoLD,0.48000000000000004,0.9600566937250354,0.9998658078368223
cicids2017,CICIDS-2017,clean,0.0,none,0,Graph-CoLD,0.5,1.0,0.9998711672249421
cicids2017,CICIDS-2017,clean,0.0,none,0,Graph-CoLD,0.52,1.0,0.9614717542120912
cicids2017,CICIDS-2017,clean,0.0,none,0,Graph-CoLD,0.54,1.0,0.9258022187760945
cicids2017,CICIDS-2017,clean,0.0,none,0,Graph-CoLD,0.56,1.0,0.8927873001265386
cicids2017,CICIDS-2017,clean,0.0,none,0,Graph-CoLD,0.5800000000000001,1.0,0.8619502443358508
cicids2017,CICIDS-2017,clean,0.0,none,0,Graph-CoLD,0.6,1.0,0.833261756495598
cicids2017,CICIDS-2017,clean,0.0,none,0,Graph-CoLD,0.62,1.0,0.8063376623376624
cicids2017,CICIDS-2017,clean,0.0,none,0,Graph-CoLD,0.64,1.0,0.7811776547559134
cicids2017,CICIDS-2017,clean,0.0,none,0,Graph-CoLD,0.66,1.0,0.7574663283232481
cicids2017,CICIDS-2017,clean,0.0,none,0,Graph-CoLD,0.68,1.0,0.7352216748768473
cicids2017,CICIDS-2017,clean,0.0,none,0,Graph-CoLD,0.7000000000000001,1.0,0.7141805466089998
cicids2017,CICIDS-2017,clean,0.0,none,0,Graph-CoLD,0.7200000000000001,1.0,0.6943723718350183
cicids2017,CICIDS-2017,clean,0.0,none,0,Graph-CoLD,0.74,1.0,0.6755745125348189
cicids2017,CICIDS-2017,clean,0.0,none,0,Graph-CoLD,0.76,1.0,0.6578233598915071
