variant,dataset,reported_as,dataset_hash,actual_data_path,class_policy,num_classes,sample_policy,sample_size,sample_seed,sampling_stratified,noise_type,noise_rate,graph_beta,seed,split_id,noise_seed,model_seed,method_family,implementation_status,compression_ratio,mean_weight,retained_fraction,retained_fraction_clean_informative,n_eff_ratio,runtime_sec,memory_mb,active_views,source_verified,replacement_for,cicids_train_dedup_removed,method,macro_f1,fpr,fnr,tail_recall,err,err_tail,err_final
Graph-CoLD-full,cicids2017,CICIDS-2017,2585508ac445a94a3eb2244aa64778678928d201555396b4b9afc1ed6a2f1ab4,C:\Users\g14370\graph-cold\data\cicids2017,postfilter11,11,p2d_real_audit_window_train_1500_test_4000,5500,42,True,graph_consistency,0.6,0.6,0,p2d-cicids2017-seed0,0,0,graph_cold,p2d_deoracled,0.99975,0.6851378970554698,0.69,0.9333333333333333,0.6926160044187788,0.12953590002143756,3.0143136978149414,host|ip|temporal,True,,107054,Graph-CoLD-full,0.2826711042259657,0.2389455782312925,0.30276203966005666,0.019801980198019802,0.9263683605970325,0.9143318020162251,0.9203500813066288
ablation_hard,cicids2017,CICIDS-2017,2585508ac445a94a3eb2244aa64778678928d201555396b4b9afc1ed6a2f1ab4,C:\Users\g14370\graph-cold\data\cicids2017,postfilter11,11,p2d_real_audit_window_train_1500_test_4000,5500,42,True,graph_consistency,0.6,0.6,0,p2d-cicids2017-seed0,0,0,graph_cold,p2d_deoracled,0.99975,0.6851378970554698,0.69,0.9333333333333333,0.6926160044187788,0.12923209997825325,2.9923810958862305,host|ip|temporal,True,,107054,ablation_hard,0.27905768209445864,0.22448979591836735,0.30205382436260625,0.039603960396039604,0.9263683605970325,0.9143318020162251,0.9203500813066288
Graph-CoLD-no-evidence,cicids2017,CICIDS-2017,2585508ac445a94a3eb2244aa64778678928d201555396b4b9afc1ed6a2f1ab4,C:\Users\g14370\graph-cold\data\cicids2017,postfilter11,11,p2d_real_audit_window_train_1500_test_4000,5500,42,True,graph_consistency,0.6,0.6,0,p2d-cicids2017-seed0,0,0,graph_cold,p2d_deoracled,0.99975,0.6851378970554698,0.69,0.9333333333333333,0.6926160044187788,0.14788010000484064,2.987288475036621,host|ip|temporal,True,,107054,Graph-CoLD-no-evidence,0.2852899060699362,0.22789115646258504,0.2988668555240793,0.019801980198019802,0.9263683605970325,0.9143318020162251,0.9203500813066288
Graph-CoLD-no-D_neigh,cicids2017,CICIDS-2017,2585508ac445a94a3eb2244aa64778678928d201555396b4b9afc1ed6a2f1ab4,C:\Users\g14370\graph-cold\data\cicids2017,postfilter11,11,p2d_real_audit_window_train_1500_test_4000,5500,42,True,graph_consistency,0.6,0.6,0,p2d-cicids2017-seed0,0,0,graph_cold,p2d_deoracled,0.99975,0.6851378970554698,0.69,0.9333333333333333,0.6926160044187788,0.12663969997083768,2.9595956802368164,host|ip|temporal,True,,107054,Graph-CoLD-no-D_neigh,0.29140710683101473,0.22959183673469388,0.3013456090651558,0.0297029702970297,0.9263683605970325,0.9143318020162251,0.9203500813066288
Graph-CoLD-no-D_view,cicids2017,CICIDS-2017,2585508ac445a94a3eb2244aa64778678928d201555396b4b9afc1ed6a2f1ab4,C:\Users\g14370\graph-cold\data\cicids2017,postfilter11,11,p2d_real_audit_window_train_1500_test_4000,5500,42,True,graph_consistency,0.6,0.6,0,p2d-cicids2017-seed0,0,0,graph_cold,p2d_deoracled,0.99975,0.6851378970554698,0.69,0.9333333333333333,0.6926160044187788,0.15707700001075864,2.956240653991699,host|ip|temporal,True,,107054,Graph-CoLD-no-D_view,0.2939311570625225,0.23299319727891157,0.3024079320113314,0.0297029702970297,0.9263683605970325,0.9143318020162251,0.9203500813066288
Graph-CoLD-full,cicids2017,CICIDS-2017,2585508ac445a94a3eb2244aa64778678928d201555396b4b9afc1ed6a2f1ab4,C:\Users\g14370\graph-cold\data\cicids2017,postfilter11,11,p2d_real_audit_window_train_1500_test_4000,5500,42,True,graph_consistency,0.6,0.6,1,p2d-cicids2017-seed1,1,1,graph_cold,p2d_deoracled,0.99975,0.6957641351441066,0.7006666666666667,0.9666666666666667,0.7031145673682563,0.12040000001434237,2.961179733276367,host|ip|temporal,True,,107047,Graph-CoLD-full,0.31344173698220257,0.21683673469387754,0.27726628895184136,0.10891089108910891,0.9642844887282577,0.9327345305677688,0.9485095096480132
ablation_hard,cicids2017,CICIDS-2017,2585508ac445a94a3eb2244aa64778678928d201555396b4b9afc1ed6a2f1ab4,C:\Users\g14370\graph-cold\data\cicids2017,postfilter11,11,p2d_real_audit_window_train_1500_test_4000,5500,42,True,graph_consistency,0.6,0.6,1,p2d-cicids2017-seed1,1,1,graph_cold,p2d_deoracled,0.99975,0.6957641351441066,0.7006666666666667,0.9666666666666667,0.7031145673682563,0.13037150003947318,3.2619380950927734,host|ip|temporal,True,,107047,ablation_hard,0.31738050311837435,0.2100340136054422,0.27160056657223797,0.10891089108910891,0.9642844887282577,0.9327345305677688,0.9485095096480132
Graph-CoLD-no-evidence,cicids2017,CICIDS-2017,2585508ac445a94a3eb2244aa64778678928d201555396b4b9afc1ed6a2f1ab4,C:\Users\g14370\graph-cold\data\cicids2017,postfilter11,11,p2d_real_audit_window_train_1500_test_4000,5500,42,True,graph_consistency,0.6,0.6,1,p2d-cicids2017-seed1,1,1,graph_cold,p2d_deoracled,0.99975,0.6957641351441066,0.7006666666666667,0.9666666666666667,0.7031145673682563,0.12394429999403656,2.9905824661254883,host|ip|temporal,True,,107047,Graph-CoLD-no-evidence,0.31726921982248285,0.21428571428571427,0.2790368271954674,0.1188118811881188,0.9642844887282577,0.9327345305677688,0.9485095096480132
Graph-CoLD-no-D_neigh,cicids2017,CICIDS-2017,2585508ac445a94a3eb2244aa64778678928d201555396b4b9afc1ed6a2f1ab4,C:\Users\g14370\graph-cold\data\cicids2017,postfilter11,11,p2d_real_audit_window_train_1500_test_4000,5500,42,True,graph_consistency,0.6,0.6,1,p2d-cicids2017-seed1,1,1,graph_cold,p2d_deoracled,0.99975,0.6957641351441066,0.7006666666666667,0.9666666666666667,0.7031145673682563,0.13821800000732765,2.98660945892334,host|ip|temporal,True,,107047,Graph-CoLD-no-D_neigh,0.30583267123298585,0.22108843537414966,0.28257790368271957,0.10891089108910891,0.9642844887282577,0.9327345305677688,0.9485095096480132
Graph-CoLD-no-D_view,cicids2017,CICIDS-2017,2585508ac445a94a3eb2244aa64778678928d201555396b4b9afc1ed6a2f1ab4,C:\Users\g14370\graph-cold\data\cicids2017,postfilter11,11,p2d_real_audit_window_train_1500_test_4000,5500,42,True,graph_consistency,0.6,0.6,1,p2d-cicids2017-seed1,1,1,graph_cold,p2d_deoracled,0.99975,0.6957641351441066,0.7006666666666667,0.9666666666666667,0.7031145673682563,0.12196980003500357,2.9624624252319336,host|ip|temporal,True,,107047,Graph-CoLD-no-D_view,0.3167462314055866,0.21343537414965985,0.2811614730878187,0.10891089108910891,0.9642844887282577,0.9327345305677688,0.9485095096480132
