dataset,reported_as,dataset_hash,actual_data_path,class_policy,num_classes,sample_policy,sample_size,sample_seed,sampling_stratified,noise_type,noise_rate,graph_beta,seed,split_id,noise_seed,model_seed,method,method_family,implementation_status,macro_f1,fpr,fnr,err,err_tail,err_final,compression_ratio,mean_weight,retained_fraction,retained_fraction_clean_informative,n_eff_ratio,runtime_sec,memory_mb,active_views,source_verified,replacement_for,faithfulness_level,baseline_source,smoke_passed,implementation_notes
cicids2017,CICIDS-2017,2585508ac445a94a3eb2244aa64778678928d201555396b4b9afc1ed6a2f1ab4,C:\Users\g14370\graph-cold\data\cicids2017,postfilter11,11,full_postfilter11_after_min_count_and_dominant_downsample,787999,42,True,clean,0.0,none,0,8c6a3f10d9fc1435,0,0,Decoupling,decoupling,implemented_smoke_passed,0.671236278330126,0.2414584009520718,0.0039592404722359,1.0,1.0,1.0,0.972988578680203,0.1440516244473738,0.1440516244473738,0.1440516244473738,0.1440516244473738,18.34087479999289,422.1747589111328,host|ip|temporal,True,,standard tabular implementation of disagreement-update Decoupling,local_sklearn_sgd_disagreement_update,True,two SGD classifiers update on post-warmup disagreements using noisy_y_train
cicids2017,CICIDS-2017,2585508ac445a94a3eb2244aa64778678928d201555396b4b9afc1ed6a2f1ab4,C:\Users\g14370\graph-cold\data\cicids2017,postfilter11,11,full_postfilter11_after_min_count_and_dominant_downsample,787999,42,True,symmetric,0.1,none,0,8c6a3f10d9fc1435,0,0,Decoupling,decoupling,implemented_smoke_passed,0.5367262094220077,0.7458184572108623,0.0014364591282488,0.1305988773713199,0.1767331910805749,0.1536660342259474,0.993477157360406,0.1304078845302737,0.1304078845302737,0.1253384094754653,0.1304078845302737,14.28974560002098,422.17356872558594,host|ip|temporal,True,,standard tabular implementation of disagreement-update Decoupling,local_sklearn_sgd_disagreement_update,True,two SGD classifiers update on post-warmup disagreements using noisy_y_train
cicids2017,CICIDS-2017,2585508ac445a94a3eb2244aa64778678928d201555396b4b9afc1ed6a2f1ab4,C:\Users\g14370\graph-cold\data\cicids2017,postfilter11,11,full_postfilter11_after_min_count_and_dominant_downsample,787999,42,True,symmetric,0.2,none,0,8c6a3f10d9fc1435,0,0,Decoupling,decoupling,implemented_smoke_passed,0.5595630736827906,0.3095531753759601,0.0036450150379314,0.1292363463752669,0.1987958110657275,0.1640160787204972,0.999733502538071,0.1145179481566436,0.1145179481566436,0.1089308375634517,0.1145179481566436,14.37743860000046,422.1735534667969,host|ip|temporal,True,,standard tabular implementation of disagreement-update Decoupling,local_sklearn_sgd_disagreement_update,True,two SGD classifiers update on post-warmup disagreements using noisy_y_train
cicids2017,CICIDS-2017,2585508ac445a94a3eb2244aa64778678928d201555396b4b9afc1ed6a2f1ab4,C:\Users\g14370\graph-cold\data\cicids2017,postfilter11,11,full_postfilter11_after_min_count_and_dominant_downsample,787999,42,True,symmetric,0.4,none,0,8c6a3f10d9fc1435,0,0,Decoupling,decoupling,implemented_smoke_passed,0.5370542217707853,0.1917991993941361,0.0090676482470709,0.129940567680996,0.2519135736133215,0.1909270706471587,0.99625,0.0708265717426582,0.0708265717426582,0.0812502643488558,0.0708265717426582,14.03803529997822,422.17349433898926,host|ip|temporal,True,,standard tabular implementation of disagreement-update Decoupling,local_sklearn_sgd_disagreement_update,True,two SGD classifiers update on post-warmup disagreements using noisy_y_train
cicids2017,CICIDS-2017,2585508ac445a94a3eb2244aa64778678928d201555396b4b9afc1ed6a2f1ab4,C:\Users\g14370\graph-cold\data\cicids2017,postfilter11,11,full_postfilter11_after_min_count_and_dominant_downsample,787999,42,True,symmetric,0.6,none,0,8c6a3f10d9fc1435,0,0,Decoupling,decoupling,implemented_smoke_passed,0.5533789463787415,0.1912149734934545,0.016941239843785,0.1814582858877794,0.3278024978565526,0.254630391872166,0.9994670050761422,0.097563606541254,0.097563606541254,0.1177506345177665,0.097563606541254,14.148559499997646,422.1735229492188,host|ip|temporal,True,,standard tabular implementation of disagreement-update Decoupling,local_sklearn_sgd_disagreement_update,True,two SGD classifiers update on post-warmup disagreements using noisy_y_train
cicids2017,CICIDS-2017,2585508ac445a94a3eb2244aa64778678928d201555396b4b9afc1ed6a2f1ab4,C:\Users\g14370\graph-cold\data\cicids2017,postfilter11,11,full_postfilter11_after_min_count_and_dominant_downsample,787999,42,True,asymmetric,0.1,none,0,8c6a3f10d9fc1435,0,0,Decoupling,decoupling,implemented_smoke_passed,0.5253986099866785,0.2671643405820621,0.0175427571037392,0.1672362525243022,0.2196099602065859,0.193423106365444,0.9920939086294416,0.1757854945835891,0.1757854945835891,0.1668429216018048,0.1757854945835891,14.633610999968369,422.1735076904297,host|ip|temporal,True,,standard tabular implementation of disagreement-update Decoupling,local_sklearn_sgd_disagreement_update,True,two SGD classifiers update on post-warmup disagreements using noisy_y_train
cicids2017,CICIDS-2017,2585508ac445a94a3eb2244aa64778678928d201555396b4b9afc1ed6a2f1ab4,C:\Users\g14370\graph-cold\data\cicids2017,postfilter11,11,full_postfilter11_after_min_count_and_dominant_downsample,787999,42,True,asymmetric,0.2,none,0,8c6a3f10d9fc1435,0,0,Decoupling,decoupling,implemented_smoke_passed,0.5405426513825189,0.2501568754733311,0.0165821250617228,0.2250469577662298,0.265192589026996,0.2451197733966129,0.9891180203045684,0.2422878208880407,0.2422878208880407,0.2398749796919363,0.2422878208880407,14.991199299984146,422.1734771728516,host|ip|temporal,True,,standard tabular implementation of disagreement-update Decoupling,local_sklearn_sgd_disagreement_update,True,two SGD classifiers update on post-warmup disagreements using noisy_y_train
cicids2017,CICIDS-2017,2585508ac445a94a3eb2244aa64778678928d201555396b4b9afc1ed6a2f1ab4,C:\Users\g14370\graph-cold\data\cicids2017,postfilter11,11,full_postfilter11_after_min_count_and_dominant_downsample,787999,42,True,asymmetric,0.4,none,0,8c6a3f10d9fc1435,0,0,Decoupling,decoupling,implemented_smoke_passed,0.5978027480378407,0.267121064589419,0.0350675584683754,0.204923676821812,0.2553136222819579,0.230118649551885,0.9995812182741116,0.1662375733464044,0.1662375733464044,0.2272981323884547,0.1662375733464044,14.835071800043806,422.1734619140625,host|ip|temporal,True,,standard tabular implementation of disagreement-update Decoupling,local_sklearn_sgd_disagreement_update,True,two SGD classifiers update on post-warmup disagreements using noisy_y_train
cicids2017,CICIDS-2017,2585508ac445a94a3eb2244aa64778678928d201555396b4b9afc1ed6a2f1ab4,C:\Users\g14370\graph-cold\data\cicids2017,postfilter11,11,full_postfilter11_after_min_count_and_dominant_downsample,787999,42,True,asymmetric,0.6,none,0,8c6a3f10d9fc1435,0,0,Decoupling,decoupling,implemented_smoke_passed,0.5268338014658833,0.2541599047928162,0.1081115051398303,0.4412586515971398,0.4530690839731887,0.4471638677851642,0.9986611675126904,0.5848438845873803,0.5848438845873803,0.4865087800003173,0.5848438845873803,17.189093399967533,422.1734027862549,host|ip|temporal,True,,standard tabular implementation of disagreement-update Decoupling,local_sklearn_sgd_disagreement_update,True,two SGD classifiers update on post-warmup disagreements using noisy_y_train
cicids2017,CICIDS-2017,2585508ac445a94a3eb2244aa64778678928d201555396b4b9afc1ed6a2f1ab4,C:\Users\g14370\graph-cold\data\cicids2017,postfilter11,11,full_postfilter11_after_min_count_and_dominant_downsample,787999,42,True,graph_consistency,0.1,0.0,0,8c6a3f10d9fc1435,0,0,Decoupling,decoupling,implemented_smoke_passed,0.5367262094220077,0.7458184572108623,0.0014364591282488,0.1305988773713199,0.1767331910805749,0.1536660342259474,0.993477157360406,0.1304078845302737,0.1304078845302737,0.1253384094754653,0.1304078845302737,14.26074650004739,422.1734313964844,host|ip|temporal,True,,standard tabular implementation of disagreement-update Decoupling,local_sklearn_sgd_disagreement_update,True,two SGD classifiers update on post-warmup disagreements using noisy_y_train
