dataset,reported_as,noise_type,noise_rate,graph_beta,seed,method,topk_precision,topk_recall,precision_at_budget,alert_compression_at_full_recall,compression_at_recall_90,compression_at_recall_95
cicids2017,CICIDS-2017,clean,0.0,none,0,Graph-CoLD,1.0,0.012884937508053087,0.9993560849967804,0.5000322102686336,0.45004187334922374,0.4750370418089287
cicids2017,CICIDS-2017,clean,0.0,none,0,CoLD,1.0,0.012884937508053087,0.9993560849967804,0.8884880499903369,0.45004187334922374,0.4750370418089287
cicids2017,CICIDS-2017,clean,0.0,none,0,ablation_hard,1.0,0.012884937508053087,0.9993560849967804,0.5000322102686336,0.45004187334922374,0.4750370418089287
cicids2017,CICIDS-2017,clean,0.0,none,0,Confident-Learning,0.99,0.012756088132972555,0.9993560849967804,0.598080267989435,0.45004187334922374,0.4750370418089287
cicids2017,CICIDS-2017,symmetric,0.4,none,0,Graph-CoLD,0.99,0.012756088132972555,0.9987121699935608,0.7048250982413193,0.45010629388649104,0.475101462346196
cicids2017,CICIDS-2017,symmetric,0.4,none,0,CoLD,0.99,0.012756088132972555,0.9987121699935608,0.9331959028538298,0.45010629388649104,0.475101462346196
cicids2017,CICIDS-2017,symmetric,0.4,none,0,ablation_hard,0.99,0.012756088132972555,0.9987121699935608,0.9331959028538298,0.4501707144237583,0.47516588288346323
cicids2017,CICIDS-2017,symmetric,0.4,none,0,Confident-Learning,0.92,0.011854142507408839,0.927237604636188,0.9994202151645944,0.48289634735553694,0.5102750756941313
cicids2017,CICIDS-2017,asymmetric,0.4,none,0,Graph-CoLD,1.0,0.012884937508053087,0.9993560849967804,0.7990079237260839,0.45004187334922374,0.4750370418089287
cicids2017,CICIDS-2017,asymmetric,0.4,none,0,CoLD,1.0,0.012884937508053087,0.9993560849967804,0.888745732139406,0.45004187334922374,0.4750370418089287
cicids2017,CICIDS-2017,asymmetric,0.4,none,0,ablation_hard,1.0,0.012884937508053087,0.9993560849967804,0.888745732139406,0.45004187334922374,0.4750370418089287
cicids2017,CICIDS-2017,asymmetric,0.4,none,0,Confident-Learning,1.0,0.012884937508053087,1.0,0.9998711589254654,0.6574115828126007,0.8334729111640791
cicids2017,CICIDS-2017,graph_consistency,0.4,0.6,0,Graph-CoLD,0.99,0.012756088132972555,0.9993560849967804,0.7039876312568447,0.45004187334922374,0.4750370418089287
cicids2017,CICIDS-2017,graph_consistency,0.4,0.6,0,CoLD,0.99,0.012756088132972555,0.9993560849967804,0.9339045287637698,0.45004187334922374,0.4750370418089287
cicids2017,CICIDS-2017,graph_consistency,0.4,0.6,0,ablation_hard,0.99,0.012756088132972555,0.9993560849967804,0.9339045287637698,0.45004187334922374,0.4750370418089287
cicids2017,CICIDS-2017,graph_consistency,0.4,0.6,0,Confident-Learning,0.89,0.011467594382167247,0.8647778493238892,1.0,0.518005540166205,0.6491657540423887
cicids2017,CICIDS-2017,clean,0.0,none,1,Graph-CoLD,1.0,0.012883277505797475,1.0,0.5085357211879147,0.4501707144237583,0.47516588288346323
cicids2017,CICIDS-2017,clean,0.0,none,1,CoLD,1.0,0.012883277505797475,1.0,0.8873284803195258,0.4501707144237583,0.47516588288346323
cicids2017,CICIDS-2017,clean,0.0,none,1,ablation_hard,1.0,0.012883277505797475,1.0,0.5085357211879147,0.4501707144237583,0.47516588288346323
cicids2017,CICIDS-2017,clean,0.0,none,1,Confident-Learning,1.0,0.012883277505797475,1.0,0.9540037363911615,0.45010629388649104,0.475101462346196
cicids2017,CICIDS-2017,symmetric,0.4,none,1,Graph-CoLD,1.0,0.012883277505797475,1.0,0.503317657669265,0.45010629388649104,0.475101462346196
cicids2017,CICIDS-2017,symmetric,0.4,none,1,CoLD,1.0,0.012883277505797475,1.0,0.6568317979771952,0.4501707144237583,0.47516588288346323
cicids2017,CICIDS-2017,symmetric,0.4,none,1,ablation_hard,1.0,0.012883277505797475,1.0,0.6568317979771952,0.4501707144237583,0.47516588288346323
cicids2017,CICIDS-2017,symmetric,0.4,none,1,Confident-Learning,0.72,0.009275959804174182,0.7160334835801674,0.9998067383881981,0.8739290085679314,0.9336468466147008
cicids2017,CICIDS-2017,asymmetric,0.4,none,1,Graph-CoLD,1.0,0.012883277505797475,1.0,0.9285576241705856,0.45004187334922374,0.4750370418089287
cicids2017,CICIDS-2017,asymmetric,0.4,none,1,CoLD,1.0,0.012883277505797475,1.0,0.9285576241705856,0.45004187334922374,0.4750370418089287
cicids2017,CICIDS-2017,asymmetric,0.4,none,1,ablation_hard,1.0,0.012883277505797475,1.0,0.9285576241705856,0.45010629388649104,0.475101462346196
cicids2017,CICIDS-2017,asymmetric,0.4,none,1,Confident-Learning,1.0,0.012883277505797475,1.0,1.0,0.7009598660052825,0.8407524318752818
cicids2017,CICIDS-2017,graph_consistency,0.4,0.6,1,Graph-CoLD,1.0,0.012883277505797475,0.9993560849967804,0.7093989563872962,0.45010629388649104,0.475101462346196
cicids2017,CICIDS-2017,graph_consistency,0.4,0.6,1,CoLD,1.0,0.012883277505797475,0.9993560849967804,0.7093989563872962,0.45010629388649104,0.475101462346196
cicids2017,CICIDS-2017,graph_consistency,0.4,0.6,1,ablation_hard,1.0,0.012883277505797475,0.9993560849967804,0.7093989563872962,0.4501707144237583,0.47516588288346323
cicids2017,CICIDS-2017,graph_consistency,0.4,0.6,1,Confident-Learning,0.94,0.012110280855449627,0.9523502897617514,0.9993557946273272,0.7198350834245958,0.852734651806996
cicids2017,CICIDS-2017,clean,0.0,none,2,Graph-CoLD,1.0,0.012884937508053087,1.0,0.8566643045803002,0.45004187334922374,0.4750370418089287
cicids2017,CICIDS-2017,clean,0.0,none,2,CoLD,1.0,0.012884937508053087,1.0,0.8909360304064936,0.45004187334922374,0.4750370418089287
cicids2017,CICIDS-2017,clean,0.0,none,2,ablation_hard,1.0,0.012884937508053087,1.0,0.8566643045803002,0.45004187334922374,0.4750370418089287
cicids2017,CICIDS-2017,clean,0.0,none,2,Confident-Learning,1.0,0.012884937508053087,1.0,0.8952522064034014,0.44997745281195645,0.4749726212716614
cicids2017,CICIDS-2017,symmetric,0.4,none,2,Graph-CoLD,1.0,0.012884937508053087,1.0,0.9140630032854474,0.45004187334922374,0.4750370418089287
cicids2017,CICIDS-2017,symmetric,0.4,none,2,CoLD,1.0,0.012884937508053087,1.0,0.9340333698383044,0.45004187334922374,0.4750370418089287
cicids2017,CICIDS-2017,symmetric,0.4,none,2,ablation_hard,1.0,0.012884937508053087,1.0,0.9340333698383044,0.45004187334922374,0.4750370418089287
cicids2017,CICIDS-2017,symmetric,0.4,none,2,Confident-Learning,0.71,0.00914830563071769,0.7759175788795879,0.9994846357018617,0.5796559943309927,0.6349288153063196
cicids2017,CICIDS-2017,asymmetric,0.4,none,2,Graph-CoLD,1.0,0.012884937508053087,1.0,0.8913225536300973,0.45004187334922374,0.4750370418089287
