Dataset,Noise type,Noise rate,Graph beta,Method,Macro-F1 mean +/- std,FPR mean +/- std,FNR mean +/- std,ERR mean +/- std,Compression ratio mean +/- std,Runtime mean +/- std (s)
CESNET-TLS-Year22,asymmetric,0.1,none,Co-Teaching-lite,0.8946 +/- 0.0048,0.1001 +/- 0.0069,0.0033 +/- 0.0010,0.9407 +/- 0.0123,0.9942 +/- 0.0064,2.52 +/- 0.17
CESNET-TLS-Year22,asymmetric,0.1,none,CoLD,0.9952 +/- 0.0005,0.0110 +/- 0.0035,0.0000 +/- 0.0000,0.9454 +/- 0.0018,0.9731 +/- 0.0001,0.43 +/- 0.01
CESNET-TLS-Year22,asymmetric,0.1,none,Confident-Learning,0.9606 +/- 0.0017,0.0060 +/- 0.0000,0.0149 +/- 0.0021,0.9387 +/- 0.0046,0.9977 +/- 0.0023,22.69 +/- 10.30
CESNET-TLS-Year22,asymmetric,0.1,none,Decoupling,0.8014 +/- 0.0138,0.1041 +/- 0.0250,0.0034 +/- 0.0025,0.1616 +/- 0.0481,1.0000 +/- 0.0000,1.75 +/- 0.03
CESNET-TLS-Year22,asymmetric,0.1,none,Graph-CoLD,0.9957 +/- 0.0006,0.0080 +/- 0.0046,0.0001 +/- 0.0001,1.0000 +/- 0.0000,0.9795 +/- 0.0113,0.45 +/- 0.03
CESNET-TLS-Year22,asymmetric,0.1,none,Noisy-Supervised,0.9382 +/- 0.0014,0.0060 +/- 0.0060,0.0680 +/- 0.0019,1.0000 +/- 0.0000,0.9997 +/- 0.0003,0.28 +/- 0.02
CESNET-TLS-Year22,asymmetric,0.1,none,ablation_hard,0.9952 +/- 0.0005,0.0110 +/- 0.0035,0.0000 +/- 0.0000,0.9454 +/- 0.0018,0.9731 +/- 0.0001,0.00 +/- 0.00
CESNET-TLS-Year22,asymmetric,0.2,none,Co-Teaching-lite,0.8809 +/- 0.0189,0.2052 +/- 0.1345,0.0039 +/- 0.0005,0.9181 +/- 0.0180,0.9982 +/- 0.0020,2.54 +/- 0.10
CESNET-TLS-Year22,asymmetric,0.2,none,CoLD,0.9949 +/- 0.0003,0.0110 +/- 0.0046,0.0001 +/- 0.0000,0.9475 +/- 0.0013,0.9914 +/- 0.0067,0.39 +/- 0.02
CESNET-TLS-Year22,asymmetric,0.2,none,Confident-Learning,0.9434 +/- 0.0067,0.0070 +/- 0.0017,0.0340 +/- 0.0021,0.9396 +/- 0.0002,0.9989 +/- 0.0006,23.22 +/- 12.52
CESNET-TLS-Year22,asymmetric,0.2,none,Decoupling,0.7789 +/- 0.0062,0.5516 +/- 0.0284,0.0024 +/- 0.0005,0.1538 +/- 0.0208,1.0000 +/- 0.0000,2.34 +/- 0.04
CESNET-TLS-Year22,asymmetric,0.2,none,Graph-CoLD,0.9953 +/- 0.0002,0.0080 +/- 0.0046,0.0001 +/- 0.0000,1.0000 +/- 0.0000,0.9870 +/- 0.0121,0.40 +/- 0.02
CESNET-TLS-Year22,asymmetric,0.2,none,Noisy-Supervised,0.8765 +/- 0.0038,0.0020 +/- 0.0035,0.1654 +/- 0.0066,1.0000 +/- 0.0000,0.9998 +/- 0.0002,0.31 +/- 0.03
CESNET-TLS-Year22,asymmetric,0.2,none,ablation_hard,0.9949 +/- 0.0003,0.0110 +/- 0.0046,0.0001 +/- 0.0000,0.9475 +/- 0.0013,0.9914 +/- 0.0067,0.00 +/- 0.00
CESNET-TLS-Year22,asymmetric,0.4,none,Co-Teaching-lite,0.8417 +/- 0.0306,0.5025 +/- 0.3364,0.0089 +/- 0.0027,0.8377 +/- 0.0189,0.9999 +/- 0.0002,2.30 +/- 0.31
CESNET-TLS-Year22,asymmetric,0.4,none,CoLD,0.9945 +/- 0.0007,0.0080 +/- 0.0063,0.0001 +/- 0.0001,0.9478 +/- 0.0022,0.9860 +/- 0.0116,0.32 +/- 0.03
CESNET-TLS-Year22,asymmetric,0.4,none,Confident-Learning,0.8956 +/- 0.0120,0.0090 +/- 0.0030,0.0911 +/- 0.0086,0.9367 +/- 0.0175,0.9997 +/- 0.0002,24.08 +/- 14.50
CESNET-TLS-Year22,asymmetric,0.4,none,Decoupling,0.8037 +/- 0.0056,0.2603 +/- 0.3634,0.0149 +/- 0.0082,0.1670 +/- 0.0440,1.0000 +/- 0.0000,1.91 +/- 0.03
CESNET-TLS-Year22,asymmetric,0.4,none,Graph-CoLD,0.9950 +/- 0.0005,0.0120 +/- 0.0052,0.0001 +/- 0.0001,1.0000 +/- 0.0000,0.9803 +/- 0.0126,0.39 +/- 0.02
CESNET-TLS-Year22,asymmetric,0.4,none,Noisy-Supervised,0.6860 +/- 0.0076,0.0030 +/- 0.0030,0.4421 +/- 0.0093,1.0000 +/- 0.0000,0.9999 +/- 0.0001,0.34 +/- 0.01
CESNET-TLS-Year22,asymmetric,0.4,none,ablation_hard,0.9945 +/- 0.0007,0.0080 +/- 0.0063,0.0001 +/- 0.0001,0.9478 +/- 0.0022,0.9860 +/- 0.0116,0.00 +/- 0.00
CESNET-TLS-Year22,asymmetric,0.6,none,Co-Teaching-lite,0.7942 +/- 0.0289,0.5245 +/- 0.2730,0.0193 +/- 0.0055,0.8025 +/- 0.0516,1.0000 +/- 0.0000,2.31 +/- 0.02
CESNET-TLS-Year22,asymmetric,0.6,none,CoLD,0.9940 +/- 0.0003,0.0070 +/- 0.0046,0.0002 +/- 0.0001,0.9474 +/- 0.0014,0.9915 +/- 0.0068,0.27 +/- 0.02
CESNET-TLS-Year22,asymmetric,0.6,none,Confident-Learning,0.8370 +/- 0.0120,0.0150 +/- 0.0159,0.1828 +/- 0.0201,0.9229 +/- 0.0156,0.9999 +/- 0.0001,20.32 +/- 13.17
CESNET-TLS-Year22,asymmetric,0.6,none,Decoupling,0.7150 +/- 0.0772,0.4014 +/- 0.3452,0.1446 +/- 0.1153,0.3006 +/- 0.0837,1.0000 +/- 0.0000,1.87 +/- 0.04
CESNET-TLS-Year22,asymmetric,0.6,none,Graph-CoLD,0.9945 +/- 0.0005,0.0100 +/- 0.0017,0.0002 +/- 0.0001,1.0000 +/- 0.0000,0.9903 +/- 0.0052,0.34 +/- 0.01
CESNET-TLS-Year22,asymmetric,0.6,none,Noisy-Supervised,0.4151 +/- 0.0030,0.0000 +/- 0.0000,0.7267 +/- 0.0030,1.0000 +/- 0.0000,0.9999 +/- 0.0001,0.33 +/- 0.02
CESNET-TLS-Year22,asymmetric,0.6,none,ablation_hard,0.9940 +/- 0.0003,0.0070 +/- 0.0046,0.0002 +/- 0.0001,0.9474 +/- 0.0014,0.9915 +/- 0.0068,0.00 +/- 0.00
CESNET-TLS-Year22,clean,0.0,none,Co-Teaching-lite,0.8748 +/- 0.0159,0.0821 +/- 0.0125,0.0013 +/- 0.0009,1.0000 +/- 0.0000,0.9954 +/- 0.0073,2.49 +/- 0.29
