dataset,noise_type,noise_rate,graph_beta,graphcold_macro_f1,cold_macro_f1,hard_macro_f1,delta_macro_f1_vs_cold,delta_macro_f1_vs_hard,graphcold_err_final,cold_err_final,hard_err_final,delta_err_final_vs_cold,graphcold_fnr,cold_fnr,hard_fnr,delta_fnr_vs_cold,paired_scenarios_dataset,p_macro_f1_graphcold_vs_cold,p_macro_f1_graphcold_vs_hard,p_err_graphcold_vs_cold,p_fnr_graphcold_vs_cold,p2c_validity_note
CESNET-TLS-Year22,asymmetric,0.1,none,0.9956504423984257,0.9932682744980408,0.9951245617874441,0.002382167900384924,0.0005258806109815772,1.0,0.8737399589301167,0.945385851265161,0.1262600410698833,5.606009642333333e-05,8.409014463504877e-05,0.0,-2.8030048211715444e-05,17,6.381431108514806e-10,0.0007550723022233085,2.9302796786342386e-11,0.8813822580194411,formal row retained
CESNET-TLS-Year22,asymmetric,0.2,none,0.9952579771185173,0.9923742646495316,0.9953639565209137,0.0028837124689856664,-0.00010597940239642778,1.0,0.8731844678136222,0.9475393864108782,0.12681553218637776,5.606009642336585e-05,5.606009642336585e-05,0.0,0.0,17,6.381431108514806e-10,0.0007550723022233085,2.9302796786342386e-11,0.8813822580194411,formal row retained
CESNET-TLS-Year22,asymmetric,0.4,none,0.9949794542554099,0.9923346207570254,0.9947016396698957,0.0026448334983845134,0.00027781458551423555,1.0,0.8731044706286237,0.9478252373201189,0.12689552937137627,5.606009642333333e-05,0.0001681802892700829,5.606009642333333e-05,-0.00011212019284674959,17,6.381431108514806e-10,0.0007550723022233085,2.9302796786342386e-11,0.8813822580194411,formal row retained
CESNET-TLS-Year22,asymmetric,0.6,none,0.9945485204181704,0.9918489437301058,0.9939570092489447,0.002699576688064642,0.0005915111692257335,1.0,0.8717738703973111,0.9474303578839072,0.12822612960268887,0.0001681802892700496,0.0001401502410583992,0.0001681802892700496,2.8030048211650398e-05,17,6.381431108514806e-10,0.0007550723022233085,2.9302796786342386e-11,0.8813822580194411,formal row retained
CESNET-TLS-Year22,clean,0.0,none,0.995767835677718,0.9947972088125118,0.9955934525484782,0.0009706268652062144,0.00017438312923978572,1.0,1.0,1.0,0.0,8.409014463501626e-05,2.8030048211682924e-05,5.606009642336585e-05,5.6060096423333336e-05,17,6.381431108514806e-10,0.0007550723022233085,2.9302796786342386e-11,0.8813822580194411,formal row retained
CESNET-TLS-Year22,graph_consistency,0.1,0.0,0.995615679799021,0.9920931277068953,0.9953279134090014,0.003522552092125708,0.0002877663900195948,1.0,0.8727423995861451,0.9448728678476552,0.12725760041385492,2.8030048211682924e-05,0.0,5.606009642333333e-05,2.8030048211682924e-05,17,6.381431108514806e-10,0.0007550723022233085,2.9302796786342386e-11,0.8813822580194411,formal row retained
CESNET-TLS-Year22,graph_consistency,0.1,0.6,0.9957199447089674,0.9926502490978879,0.9952793439445271,0.0030696956110795037,0.00044060076444030205,1.0,0.8712960493423324,0.945379832167977,0.1287039506576676,2.8030048211682924e-05,2.8030048211682924e-05,2.8030048211682924e-05,0.0,17,6.381431108514806e-10,0.0007550723022233085,2.9302796786342386e-11,0.8813822580194411,formal row retained
CESNET-TLS-Year22,graph_consistency,0.2,0.0,0.9957641495937034,0.9925854865599245,0.994941085154066,0.0031786630337788946,0.000823064439637422,1.0,0.8712293268515935,0.9451982987152278,0.1287706731484065,5.606009642336585e-05,0.0,8.409014463501626e-05,5.606009642336585e-05,17,6.381431108514806e-10,0.0007550723022233085,2.9302796786342386e-11,0.8813822580194411,formal row retained
CESNET-TLS-Year22,graph_consistency,0.2,0.6,0.9958302669019212,0.9921824859073259,0.99512171918943,0.0036477809945952844,0.000708547712491181,1.0,0.8747316178320066,0.9451392364837954,0.1252683821679934,5.606009642336585e-05,5.606009642336585e-05,5.606009642336585e-05,0.0,17,6.381431108514806e-10,0.0007550723022233085,2.9302796786342386e-11,0.8813822580194411,formal row retained
CESNET-TLS-Year22,graph_consistency,0.4,0.0,0.9949820976958357,0.9916109137418565,0.9942390617323712,0.0033711839539791733,0.0007430359634644779,1.0,0.8738652897310147,0.9455718151593523,0.12613471026898526,2.8030048211682924e-05,5.606009642336585e-05,5.606009642336585e-05,-2.8030048211682924e-05,17,6.381431108514806e-10,0.0007550723022233085,2.9302796786342386e-11,0.8813822580194411,formal row retained
CESNET-TLS-Year22,graph_consistency,0.4,0.6,0.9949390522255537,0.994310122322509,0.9948549146367309,0.0006289299030446394,8.413758882275246e-05,1.0,0.872461216721056,0.9447409325822108,0.12753878327894397,8.409014463503334e-05,2.8030048211682924e-05,5.606009642336585e-05,5.606009642335041e-05,17,6.381431108514806e-10,0.0007550723022233085,2.9302796786342386e-11,0.8813822580194411,formal row retained
