dataset,reported_as,tail_flip_rate,seed,method,tail_label,tail_label_name,train_tail_count,test_tail_count,train_tail_flipped_count,clean_suspicious_tail_count,clean_suspicious_tail_retained_rate,clean_suspicious_tail_recovery_rate,test_tail_recall,mean_tail_evidence,mean_tail_cdm,mean_tail_weight
cicids2017,CICIDS-2017,0.4,0,CoLD,1,1,29,2,8,1,0.0,0.0,0.0,0.5789510086239997,0.217403306612842,0.2413793103448276
cicids2017,CICIDS-2017,0.4,0,CoLD,5,5,78,6,30,3,0.0,0.0,0.16666666666666666,0.39124220562481177,0.18354374676795843,0.6538461538461539
cicids2017,CICIDS-2017,0.4,0,CoLD,6,6,81,7,37,5,0.0,0.0,0.0,0.3571351052820913,0.1770561135783327,0.6666666666666666
cicids2017,CICIDS-2017,0.4,0,CoLD,9,9,49,7,20,1,0.0,0.0,0.0,0.40619946301550697,0.14038348347562304,0.40816326530612246
cicids2017,CICIDS-2017,0.4,0,CoLD,10,10,22,1,8,2,0.0,0.0,0.0,0.6383835204720909,0.23938041565157642,0.36363636363636365
cicids2017,CICIDS-2017,0.4,0,ablation_hard,1,1,29,2,8,1,0.0,0.0,0.5,0.5789510086239997,0.217403306612842,0.9310344827586207
cicids2017,CICIDS-2017,0.4,0,ablation_hard,5,5,78,6,30,3,0.0,0.0,0.5,0.39124220562481177,0.18354374676795843,0.9102564102564102
cicids2017,CICIDS-2017,0.4,0,ablation_hard,6,6,81,7,37,5,0.0,0.0,0.7142857142857143,0.3571351052820913,0.1770561135783327,0.9135802469135802
cicids2017,CICIDS-2017,0.4,0,ablation_hard,9,9,49,7,20,1,0.0,0.0,0.42857142857142855,0.40619946301550697,0.14038348347562304,0.9795918367346939
cicids2017,CICIDS-2017,0.4,0,ablation_hard,10,10,22,1,8,2,0.0,0.0,1.0,0.6383835204720909,0.23938041565157642,0.9090909090909091
cicids2017,CICIDS-2017,0.4,0,Graph-CoLD-soft,1,1,29,2,8,1,1.0,1.0,1.0,0.5789510086239997,0.217403306612842,0.8680995100732914
cicids2017,CICIDS-2017,0.4,0,Graph-CoLD-soft,5,5,78,6,30,3,1.0,1.0,0.8333333333333334,0.39124220562481177,0.18354374676795843,0.8386400084292968
cicids2017,CICIDS-2017,0.4,0,Graph-CoLD-soft,6,6,81,7,37,5,1.0,1.0,0.7142857142857143,0.3571351052820913,0.1770561135783327,0.8464136574989268
cicids2017,CICIDS-2017,0.4,0,Graph-CoLD-soft,9,9,49,7,20,1,1.0,1.0,0.42857142857142855,0.40619946301550697,0.14038348347562304,0.8778878186281258
cicids2017,CICIDS-2017,0.4,0,Graph-CoLD-soft,10,10,22,1,8,2,1.0,1.0,0.0,0.6383835204720909,0.23938041565157642,0.9061537731382909
cicids2017,CICIDS-2017,0.4,0,Graph-CoLD-semisup,1,1,29,2,8,1,1.0,0.0,1.0,0.5789510086239997,0.217403306612842,0.8680995100732914
cicids2017,CICIDS-2017,0.4,0,Graph-CoLD-semisup,5,5,78,6,30,3,1.0,0.0,0.6666666666666666,0.39124220562481177,0.18354374676795843,0.8386400084292968
cicids2017,CICIDS-2017,0.4,0,Graph-CoLD-semisup,6,6,81,7,37,5,1.0,0.0,0.8571428571428571,0.3571351052820913,0.1770561135783327,0.8464136574989268
cicids2017,CICIDS-2017,0.4,0,Graph-CoLD-semisup,9,9,49,7,20,1,1.0,1.0,0.42857142857142855,0.40619946301550697,0.14038348347562304,0.8778878186281258
cicids2017,CICIDS-2017,0.4,0,Graph-CoLD-semisup,10,10,22,1,8,2,1.0,0.0,1.0,0.6383835204720909,0.23938041565157642,0.9061537731382909
cicids2017,CICIDS-2017,0.4,0,Graph-CoLD,1,1,29,2,8,1,1.0,1.0,1.0,0.5789510086239997,0.217403306612842,0.8680995100732914
cicids2017,CICIDS-2017,0.4,0,Graph-CoLD,5,5,78,6,30,3,1.0,1.0,0.8333333333333334,0.39124220562481177,0.18354374676795843,0.8386400084292968
cicids2017,CICIDS-2017,0.4,0,Graph-CoLD,6,6,81,7,37,5,1.0,1.0,0.7142857142857143,0.3571351052820913,0.1770561135783327,0.8464136574989268
cicids2017,CICIDS-2017,0.4,0,Graph-CoLD,9,9,49,7,20,1,1.0,1.0,0.42857142857142855,0.40619946301550697,0.14038348347562304,0.8778878186281258
cicids2017,CICIDS-2017,0.4,0,Graph-CoLD,10,10,22,1,8,2,1.0,1.0,0.0,0.6383835204720909,0.23938041565157642,0.9061537731382909
cicids2017,CICIDS-2017,0.6,0,CoLD,1,1,29,2,22,4,0.0,0.0,0.0,0.23866446098752922,0.17910647839223096,0.7586206896551724
cicids2017,CICIDS-2017,0.6,0,CoLD,5,5,78,6,48,4,0.0,0.0,0.0,0.21796164575962665,0.12595141440395505,0.6153846153846154
cicids2017,CICIDS-2017,0.6,0,CoLD,6,6,81,7,49,4,0.0,0.0,0.0,0.2139862381081291,0.13495353878207136,0.5925925925925926
cicids2017,CICIDS-2017,0.6,0,CoLD,9,9,49,7,24,2,0.0,0.0,0.0,0.26013973358533243,0.12852736118438368,0.4897959183673469
cicids2017,CICIDS-2017,0.6,0,CoLD,10,10,22,1,12,4,0.0,0.0,0.0,0.3763820038664641,0.25272163754698107,0.5454545454545454
cicids2017,CICIDS-2017,0.6,0,ablation_hard,1,1,29,2,22,4,0.0,0.0,0.0,0.23866446098752922,0.17910647839223096,0.8620689655172413
cicids2017,CICIDS-2017,0.6,0,ablation_hard,5,5,78,6,48,4,0.0,0.0,0.0,0.21796164575962665,0.12595141440395505,0.9487179487179487
cicids2017,CICIDS-2017,0.6,0,ablation_hard,6,6,81,7,49,4,0.0,0.0,0.5714285714285714,0.2139862381081291,0.13495353878207136,0.9382716049382716
cicids2017,CICIDS-2017,0.6,0,ablation_hard,9,9,49,7,24,2,0.0,0.0,0.5714285714285714,0.26013973358533243,0.12852736118438368,0.9591836734693877
cicids2017,CICIDS-2017,0.6,0,ablation_hard,10,10,22,1,12,4,0.0,0.0,0.0,0.3763820038664641,0.25272163754698107,0.8181818181818182
cicids2017,CICIDS-2017,0.6,0,Graph-CoLD-soft,1,1,29,2,22,4,1.0,1.0,0.0,0.23866446098752922,0.17910647839223096,0.8719974640370144
cicids2017,CICIDS-2017,0.6,0,Graph-CoLD-soft,5,5,78,6,48,4,1.0,1.0,0.0,0.21796164575962665,0.12595141440395505,0.8519310665364196
cicids2017,CICIDS-2017,0.6,0,Graph-CoLD-soft,6,6,81,7,49,4,1.0,1.0,0.5714285714285714,0.2139862381081291,0.13495353878207136,0.8428513516204333
cicids2017,CICIDS-2017,0.6,0,Graph-CoLD-soft,9,9,49,7,24,2,1.0,1.0,0.42857142857142855,0.26013973358533243,0.12852736118438368,0.8567465775009547
cicids2017,CICIDS-2017,0.6,0,Graph-CoLD-soft,10,10,22,1,12,4,1.0,1.0,0.0,0.3763820038664641,0.25272163754698107,0.8502103496527756
cicids2017,CICIDS-2017,0.6,0,Graph-CoLD-semisup,1,1,29,2,22,4,1.0,0.0,0.0,0.23866446098752922,0.17910647839223096,0.8719974640370144
cicids2017,CICIDS-2017,0.6,0,Graph-CoLD-semisup,5,5,78,6,48,4,1.0,0.25,0.16666666666666666,0.21796164575962665,0.12595141440395505,0.8519310665364196
cicids2017,CICIDS-2017,0.6,0,Graph-CoLD-semisup,6,6,81,7,49,4,1.0,0.0,0.5714285714285714,0.2139862381081291,0.13495353878207136,0.8428513516204333
cicids2017,CICIDS-2017,0.6,0,Graph-CoLD-semisup,9,9,49,7,24,2,1.0,0.0,0.42857142857142855,0.26013973358533243,0.12852736118438368,0.8567465775009547
cicids2017,CICIDS-2017,0.6,0,Graph-CoLD-semisup,10,10,22,1,12,4,1.0,0.0,0.0,0.3763820038664641,0.25272163754698107,0.8502103496527756
cicids2017,CICIDS-2017,0.6,0,Graph-CoLD,1,1,29,2,22,4,1.0,1.0,0.0,0.23866446098752922,0.17910647839223096,0.8719974640370144
cicids2017,CICIDS-2017,0.6,0,Graph-CoLD,5,5,78,6,48,4,1.0,1.0,0.0,0.21796164575962665,0.12595141440395505,0.8519310665364196
cicids2017,CICIDS-2017,0.6,0,Graph-CoLD,6,6,81,7,49,4,1.0,1.0,0.5714285714285714,0.2139862381081291,0.13495353878207136,0.8428513516204333
cicids2017,CICIDS-2017,0.6,0,Graph-CoLD,9,9,49,7,24,2,1.0,1.0,0.42857142857142855,0.26013973358533243,0.12852736118438368,0.8567465775009547
cicids2017,CICIDS-2017,0.6,0,Graph-CoLD,10,10,22,1,12,4,1.0,1.0,0.0,0.3763820038664641,0.25272163754698107,0.8502103496527756
cicids2017,CICIDS-2017,0.8,0,CoLD,1,1,29,2,24,1,0.0,0.0,0.0,0.17099506926892416,0.08524937502517214,0.8275862068965517
cicids2017,CICIDS-2017,0.8,0,CoLD,5,5,78,6,60,4,0.0,0.0,0.0,0.144668946666769,0.0944407009633504,0.7692307692307693
cicids2017,CICIDS-2017,0.8,0,CoLD,6,6,81,7,64,6,0.0,0.0,0.0,0.13412109497124167,0.12021136365770904,0.7777777777777778
cicids2017,CICIDS-2017,0.8,0,CoLD,9,9,49,7,43,3,0.0,0.0,0.0,0.11113693202769416,0.08477125072000852,0.8775510204081632
cicids2017,CICIDS-2017,0.8,0,CoLD,10,10,22,1,16,2,0.0,0.0,0.0,0.24841545860965145,0.1461912434274811,0.7272727272727273
cicids2017,CICIDS-2017,0.8,0,ablation_hard,1,1,29,2,24,1,0.0,0.0,0.0,0.17099506926892416,0.08524937502517214,0.9655172413793104
cicids2017,CICIDS-2017,0.8,0,ablation_hard,5,5,78,6,60,4,0.0,0.0,0.16666666666666666,0.144668946666769,0.0944407009633504,0.9487179487179487
cicids2017,CICIDS-2017,0.8,0,ablation_hard,6,6,81,7,64,6,0.0,0.0,0.14285714285714285,0.13412109497124167,0.12021136365770904,0.9135802469135802
cicids2017,CICIDS-2017,0.8,0,ablation_hard,9,9,49,7,43,3,0.0,0.0,0.0,0.11113693202769416,0.08477125072000852,0.9387755102040817
cicids2017,CICIDS-2017,0.8,0,ablation_hard,10,10,22,1,16,2,0.0,0.0,0.0,0.24841545860965145,0.1461912434274811,0.9090909090909091
cicids2017,CICIDS-2017,0.8,0,Graph-CoLD-soft,1,1,29,2,24,1,1.0,1.0,0.0,0.17099506926892416,0.08524937502517214,0.8817602395438112
cicids2017,CICIDS-2017,0.8,0,Graph-CoLD-soft,5,5,78,6,60,4,1.0,1.0,0.16666666666666666,0.144668946666769,0.0944407009633504,0.8568461073773432
cicids2017,CICIDS-2017,0.8,0,Graph-CoLD-soft,6,6,81,7,64,6,1.0,1.0,0.14285714285714285,0.13412109497124167,0.12021136365770904,0.8411021023443875
cicids2017,CICIDS-2017,0.8,0,Graph-CoLD-soft,9,9,49,7,43,3,1.0,1.0,0.2857142857142857,0.11113693202769416,0.08477125072000852,0.8712346979916609
cicids2017,CICIDS-2017,0.8,0,Graph-CoLD-soft,10,10,22,1,16,2,1.0,1.0,0.0,0.24841545860965145,0.1461912434274811,0.8728373616070134
