reported_as,method,macro_f1,tail_macro_f1,tail_recall,rare_recovery_rate,rare_recovery_rate_oof_audit,rare_retained_rate
CESNET-TLS-Year22,CoLD,0.657784167296946,0.4112472779232104,0.3058584562753902,0.05487762120140682,0.05457850103680674,0.0
CESNET-TLS-Year22,Graph-CoLD-semisup,0.678689119354629,0.45046370810488806,0.3267265341030575,0.1265720778856923,0.1265720778856923,1.0
CESNET-TLS-Year22,Graph-CoLD-soft,0.6915255672847253,0.47464184152096967,0.3444943339747702,1.0,1.0,1.0
CESNET-TLS-Year22,ablation_hard,0.6797102622848962,0.45283286691025304,0.330874492195852,0.06364057855822498,0.06916357053377263,0.0
CICIDS-2017,CoLD,0.5344923896467946,0.04732001674116088,0.043229166666666666,0.0027777777777777775,0.0027777777777777775,0.0
CICIDS-2017,Graph-CoLD-semisup,0.6865654763121031,0.3574811924565774,0.271875,0.011590413943355119,0.011590413943355119,1.0
CICIDS-2017,Graph-CoLD-soft,0.7211811709367727,0.4341705701828419,0.32838541666666665,1.0,1.0,1.0
CICIDS-2017,ablation_hard,0.6884972364833267,0.3610412073256064,0.27682291666666664,0.0022222222222222222,0.007222222222222223,0.0
UNSW-NB15,CoLD,0.4564972287742762,0.09568677165544928,0.18692770676945966,0.03735486732787139,0.03554533919090959,0.0
UNSW-NB15,Graph-CoLD-semisup,0.4688019791443348,0.12991667440236737,0.19410172062332745,0.18666818126657778,0.18666818126657778,1.0
UNSW-NB15,Graph-CoLD-soft,0.4848364218958043,0.17298580490091947,0.2287124791080969,0.970370188243622,0.970370188243622,1.0
UNSW-NB15,ablation_hard,0.47107793049925223,0.13249408605950072,0.20494860350307703,0.041268168820329375,0.0386793407814753,0.0
